|comment|grade
10|Жвачка на один раз. Хоть и весьма захватывающа. но после прочтения стойкое ощущение, что тебя заставили купить макулатуру за большие деньги.|0
11|просто кошмарная книга|0
12|Просто еще один некачественный коммерческий проект на русском рынке. Читатель книг - это не быдло, и ему всякую дрянь (под видом агрессивного гламурчика) не подсунешь.|0
13|На мой взгляд все произведения г.Климова просто отвратительны. Его антисемитизм имеет какие-то явно извращенческие формы, что наводит на мысль о возможных сексуальных проблемах автора, а также на крайне низкий культурный уровень, как самого г.Климова, так и его возможных поклонников.|0
14|Ненаучная фантастика|0
15|Бред... даже слов нет)|0
16|Самая скучная книга из всех, что Фредерик написал. Видимо, Бегбедер её в туалете писал.|0
17|"Внимание! Если книга перевернет всю вашу жизнь, не говорите, что вас не предупреждали!  Эта фраза привлекла меня, и я купила эту книгу, отправляясь в отпуск. Нельзя конечно утверждать, что отпуск был испорчен, но наверное что-то вроде этого. Непонятно ЧТО хотел сказать автор этой книгой. Наверное он является скрытым садо-мазохистом, который пытается оправдать свои комплексы, осуждая героев книги занимающихся этим...безобразием. ""Эротические"", если так можно сказать, сцены, это описания жестокости, насилия, морального и физического унижения. Ничего философского, способного ""перевернуть жизнь"" нет и впомине. Есть лишь мерзкое ощущение того, что эту гадость печатают и продают..."|0
18|Крайне высокопарная и поверхностая имитация глубокой мудрости. Явно предполагается глубокая наивность читателя и его поверхностная культурность - все мудрое должно быть загадочным, возвышенным, символическим и т.д. На общем уровне литературы нашего времени - произведение совершенно детское. Но оно не детское - это хитрая конъюнктурщина для простаков.|0
19|Необычайная пошлость. Мне стыдно, что Лукьяненко гражданин России|0
20|Просто мерзко, у автора явно не в порядке с головой.|0
21|Не стоит тратить время. Тоже мне открыл Америку: телевизор нас зомбирует, а то мы этого не знаем. Притом настолько сыро, небрежно, без элементарного уважения к читателю. Да плюс еще и на двухтомнике в два раза больше бабла попытался срубить. Отстойный отстой! Продолжение то следует, только я его читать не буду.|0
22|Сексо-нарко-гомо-грязноязыкая гыдота из жизни пАдонков. Читать пАдонкам|0
23|как вариант действий.|0
24|Омерзительное произведение, причем абсолютно антинаучное. Верный путь человечества назад к каменному веку.|0
25|"Хотелось почитать про будни журналистов. Как можно было загубить такую богатую на идеи тему?! Фактическое отсутствие сюжета, вся книга - какая-то дурацкая суматоха, приправленная натужными попытками пошутить. Категорически ""невтемные"" пейзажи, полнейшая картонность героев, прорисовка характеров которых заключается разве что в начальном описании длиною в абзац, невероятно бездарные диалоги, неизменно начинающиеся с ""Привет"" и неизменно заканчивающимися при помощи ""Пока"". Тьфу восемьдесят раз. Невероятно жалко и потраченных денег, и потраченного времени. Предлагаю устроить ритуальное сожжение всего тиража."|0
26|Экзистенциальный маразм убогим языком. Диалоги чудовищны, сюжет беспомощен. Не читайте на ночь.|0
27|Так любила Платову, но эту книгу даже не дочитала. Ужас!|0
28|Бредовая вещь. Причём, без какой либо системы, просто делятся продукты по цвету. Это в корне неправильно, спросите у любого врача!|0
29|Начало заинтересовало. Дочитывала с трудом. Бездарный язык и отсутствие сюжета. Депрессивные завывания героя - имхо нельзя читать.|0
30|"Терпеть не могу это произведение. У Достоевского - самое ужасное, не понимаю, почему его проходят в школе? Вот ""Идиот"" - это да, это вещь. А читать и жалеть таких людишек, какие описаны в ""ПиН"", я не могу."|0
31|Начал читать, но не нашел завязки... В итоге не дочитал.|0
32|"Язык сложный, после Генри Миллера, Палланика практически ни чего не понятно. По ходу романа становится проще, но дело не спасает. Скучно, не запоминаешь фамилии и персонажи путаются. Нет порядка изложения, хотя мне сказали что автор специльно так придумал. Много слышала хороших отзывов, но с моим мнением совпал только один:""почему столько шуму? концовку еле прочитала..Скучно"""""|0
33|"Просто пыль..Не оставила никаких эмоций. Да, не отрицаю, что попытки нравоучения были применены. Там, ""наверху"", когда кажется, что достиг все, чувствуешь себя совсем одиноким и потерянным. Но книга не по мне..Я люблю сильные эмоции и красивый сюжет"|0
34|не понравилось однозначно! Не люблю перебор мистики и фантастики.|0
35|"Отстой. Я не смог осилить 4 главы. Все эти главы состоят из описания сект и политического устройства (даже не интриг) далёкого будущего: секты на сектах, еретики и пр. муть. Читать эту книгу тяжело и неинтересно. Может фаны этого автора со мной будут и не согласны, но после фразы: ""он один способен уничтожить галактику"" мне стало окончательно ясно, что книга ориентирована на подростков, которым нравятся непобедимые герои и т.п. крайности. P.S. Насколько мне известно, это 3-я книга из серии."|0
36|В книге есть интересные идеи и мысли, но в целом книга оставила впечатление полного бессвязного бреда. Может дело в переводе, но язык мне совершенно не понравился, с трудом дочитала до конца|0
37|А я так и не смогла его дочитать до конца. Нисколько не тронуло.|0
38|При чтении книги создалось впечатление, что автор считает своих читатлей полными даунами|0
39|"Было гадко читать про этого американца. неинтересно, особенно если читать её после ""Всех оттенков голубого"". Не дочитала, бросила и забыла про эту книгу. Читалась тяжело и с принуждением."|0
40|Бред! Дочитала до конца только потому что в рекомендациях стояла первым номером. Плевалась. Порывалась бросить. Но домучила. Как можно это читать???|0
41|Очень не люблю Дарью Донцову. По моему, очень примитивно написано. Но самое страшное в её книгах - это название...|0
42|"Бениловское ""альтернативное"" видение советско-российской истории, мягко говоря, меня ОЧЕНЬ НЕ ПОРАДОВАЛО!"|0
43|Мерзость и пакость! Единственная стоящая мысль: мы думаем, что нам все должны просто потому что мы есть, а заслуги других не важны и принимаются, как само собой разумеющееся. Все - книга прочитана. Не читать!!!! КАК могли за ЭТО дать премию???|0
44|Уже читая првый рассказ, почувствовала, что схожу с ума. Следующие два просто заставила себя читать, надеясь найти хоть крупицу смысла. Что за дрянь?! Ни сюжета, ни смылса, ни языка! И садизм какой-то. Отвратительно.|0
45|глупая книга, автор описывает свои бредовые фантазии.|0
46|Такой дряни я не читал не то, чтобы давно, а пожалуй что никогда.|0
47|дерьмо|0
48|не стоит читать|0
49|Ничего более скучного я не читала. Это просто ужасно.|0
50|Ничего более бредового, расчитанного на массы, безыскусного в жизни не читала. ширпотреб , отвратителнейшее произведеньице.|0
51|"У меня язык не повернется назвать ""это"" книгой."|0
52|Набор банальностей и глупостей|0
53|Философия для недалекого ума.|0
54|Падение уровня образования порождает такие книги и их читателей.|0
55|"Ненавижу книги в стилистике ""шиза для детей и взрослых"". Любители подобной литературы могут обратить свой взор на Паоло Коэльо. Подобно этому."|0
56|Грустно...|0
57|На специфического любителя.|0
58|Еле дочитала. Это все плохая привычка - дочитывать начатое :(|0
59|Рассказ для детей. Очень добрый и спокойный.|0
60|Богатый внутренний мир писателя, его необыкновенное владение словом, умение мастерски строить сложнейшие предложения, таящие в себе глубокий смысл, отличает Марселя Пруста от других писателей. Думаю, этот писатель будет более близок зрелым умам, людям, склонным к глубоким раздумьям и философствованию. Нельзя назвать его произведения легким чтивом. Для людей легких и праздных произведения Марселя Пруста придутся не по душе. Отношу себя без стыда к оным)|0
61|Тошнило на всем протяжении чтения.|0
62|Роман мне не очень понравился. Скучный, пустой. Часто откладывала книгу, но потом заставляла себя дочитать до конца, надеясь, что он затянет, что далеше будет интересно. Оказалось, что это была пустая трата времени.|0
63|дрянь книга|0
64|Такая скучища!|0
65|Нудятина|0
66|"Типичная фантастика. Ничего нового. В книге царит нестабильность. То есть автор то затягивает читателя в пучину происходящего, то, словно устав, ""сжевывает"" интересные события и детально описывает абсолютно пустые и малоинтересные моменты. В целом книга неплоха. Стоит прочитать хотя бы для понта ;)"|0
67|Эти книги - прекрасный шанс восполнить пропущенные или забытые знания в школе. В них также много и другой полезнейшей информации, заставляющей задуматься, копнуть глубже, обратиться к дополнительной литературе. Очень познавательная серия. Хотелось бы еще передачи посмотреть, по которым были выпущены книги.|0
68|по-моему, в книге много минусов. главная интрига раскрывается уже на середине. да и на саму идею дома с дверями в разные миры можно было бы потратить побольше фантазии. единственный плюс: увлекательный язык и наблюдательность автора.|0
69|Бред, который написал неизвестно кто, а не кастанеда. И написал плохо. Я выбросил в помойку.|0
70|книга абсолютно соответствует интеллектуальному уровню Макаревича|0
71|Согласна с Laska, после ПиН воротит от Достоевщины. А как снотворное книга в общем-то ничего.|0
72|Отвратительная книга.|0
73|Ужжжасно. Нудно, скучно, серо. Типичный избитый сюжет современной Росии. Ничего интересного. Я зря потратила деньги и время на этот опус Робски.|0
74|"Совершенно фашистское произведение, унижающее не только женщин, но и мужчин, которые хоть на секунду с ним согласятся. Достаточно одной фразы (цитирую по памяти): ""Цивилизацию создали не женщины, не негры и не инвалиды"". За такое в Европе уже изъяли бы тираж и подали в суд. Крайнее варварство и ограниченность. Довольно лишь взглянуть на обложку и на фотографию автора на задней обложке, чтобы всё понять."|0
75|Книга доверху напичкана трюизмами. Читать скучно.|0
76|Полная х...Извините конечно!!Это просто читать нельзя!!!|0
77|"Отвратительная книга, в которой особенно ""умиляет"" ""доброта"" одного из героев, который не хочет убивать ведьм и поэтому заставляет теток-ведьм гнить заживо в ямах без еды и воды, пока сами не помрут... Интересно, ему самому бы понравилось?"|0
78|"Скучно, тупо и мучительно больно за потерянное время! А аннотация в начале, превозносящая книгу и сравнивающая с действительно хорошими, причем утверждается, что эта книга лучше... Блин, ни стыда, ни совести у графоманов! В топку! А читать по теме Макса Далина! И Громыко - про ведьму!Энн Райс, на худой конец... Из ""юмора"" - Алекса Коша, Белянина ""Вкус вампира"" или про жену -ведьму... Или ""Здесь Вам не причинят никакого вреда"" автора не помню сейчас...."|0
79|Это когда нибудь закончится? эта писанина. Первые 10 книг читала с удовольствием, но сейчас невозможно. Одно и тоже.|0
80|Zombie, +1 , книга посредственная. Жалею что потратил на неё целый воскресный вечер. Книга ни о чем.|0
81|Гадость, скучно, не задевает, фу. Не читать однозначно. Ни одной стоящей мысли, образа, скучный и бедный язык...|0
82|Робски нравится недалеким людям. Для них тоже кто-то должен писать. Все ИМХО.|0
83|Только начала читать и уже глубоко возмущена необъективностью автора и абсолютно неправильной системой доказательств. Пока все встреченные мною аргументы автора выглядели примерно так: вот был у меня как-то тупой американский студент, и ещё один тупой студент был, да ещё один - значит все американские студенты тупые.|0
84|Я только вот чего хочу спросить: она обкурилась что ли перед тем, как такое написаь??? Такого бреда я не ожидала. Не знаю, как до конца дочитала|0
85|конец книжки какойто бредовый :(|0
86|Это детская литература?|0
87|Сам не знаю почему начал читать эту муть, мерзкая тупая книга.|0
88|Ничего более ужасного я в жизни не читала. Жуткая тягомотина, приправленная сценами порнографического содержания.|0
89|Хуже не придумаешь.Такое всё наивное, до безобразия! Читала и плевалась.|0
90|я прочитала на одном дыхании, пытаясь выудить главную идею, но так ее и не нашла.|0
91|"Попытка оживить ужасно нудную сюжетную линию исключительно за счёт внешнего антуража (статических декораций неумело перенесённых из ""крутого"" спорта (ну очень крутого), напыщенных аксесуаров ""красивой"" жизни и прочей дребедени),к оторая терпит полное и однозначное фиаско в силу абсолютного отсутствия наималейшей ИДЕИ. О. Дивов как всегда, в своём амплуа -- слепой поводырь. Слепой морально, идейно и ментально."|0
92|"Может быть и верно , что ""в стране слепых и одноглазый король""* , но всё таки О.Дивов -- слепой поводырь. *Испанская пословица."|0
93|Ну вот вам и каламбурчик , господа : И автор ноль (с очень маленькой буквы) , Ну и книжонка соответственно г... , то-есть полный ноль хочу сказать.|0
94|"Такой бред намутить надо ещё умудриться! Были места многообещающие, потом автор начала запутываться сама в совём желании переплюнуть и закрутить чтоб всем аж плохо стало. Плохо стало. Однозначно. А потом уже просто смешно было наблюдать за всем этим. Концовка вообще ""пришей кобыле хвост"", но к тому моменту я уже ничему не удивлялась... Вобщем, мой личный, субъективный вердикт - ерунда полная."|0
95|Сгусток ненависти. Не читайте, правда, не стоит.|0
96|Хуже и быть не может. Отвратительно. Кроме Насти меня ни на что больше не хватило. Было противно, хотела бросить, но один рассказ все же решила дочитать. Честно, не понимаю, кому подобное понравится. И как такое можно писать? Автор мне противен.|0
97|Отвратительная байда. По сути - вялая и скучная порнушка, замаскированная под плохую фантастику.|0
98|"Это называется: написать что-нибудь скандальненькое, чтобы срубить бабла. Причем никаких сдерживающих рамок по части того, что именно написать, у автора явно нет. Ценности текст не представляет... мягко говоря. Никакой ответственности перед читателем за точность изложения фактов и корректность аргументов автор на себя не берет, передергивает все, что угодно и с удовольствием. Поэтому упомянутые в одном из предыдущих отзывов ""занимательные факты"" вполне могут оказаться не достовернее застольных баек (а скорей всего, так и есть)."|0
99|Отстой|0
100|Если вам нравится, когда в книге нет ни одного положительного героя, то читайте!|0
101|"По Невскому медленно двигался вперемешку поток машин и пешеходов. Все дружно орали и размахивали синими флагами. Как оказалось, местечковая футбольная команда Зенит"" у кого-то что-то выиграла, и по этому поводу весь город гудел и бесновался. Хотя впоследствии выяснилось, что гудят и беснуются они даже в случае проигрыша. Что, впрочем, неудивительно, ибо на весь Питер футбольная команда только одна, и каждая её игра для аборигенов - событие. Не понравился мне Питер. Сравнить его с Москвой, да хотя бы даже сравнить на одну доску - откровенный идиотизм. Провинциальных городов в России много, и все они одинаковые. А Москва единственная и неповторимая, к тому же - настоящая столица."" Посмеялась от души! Хуже книги я еще не читала."|0
102|Ни в коем случае не читайте, не тратьте время. Муть и дрянь.|0
103|Соглашусь с предыдущим комментарием. Литература для стандартных домохозяек... Которая действительно притупляет интеллект и делает уязвимее для отрицательного влияния СМИ, что разумеется выгодно государству...|0
104|В литературном отношении - ниже плинтуса, но почитать имеет смысл, чтобы понять, как устроены мелкие пакостники.|0
105|Писал школьник для школьников.. Полное отсутсвие чувства слова, обычная литературная фигня, которой по сложившейся традиции зачитывается полмира, слабо понимающие и литературу, и искусство в целом.. Впрочем, может им большего и не нужно.. Что касается меня, то отношение к Коэльо однозначное - в печь!|0
106|Ужасная чушь, но некоторым нравится: либо людям с проблемамии в части логического мышления, либо сдвинутым на русофилии (уж если русский - то с палеолита, а еще лучше - из юры!), либо коллекционерам глупостей (вроде меня). Вначале профессор Чудинов был довольно тихим сумасшедшим, но теперь заматерел, научился заколачивать деньги, и стал гнать откровенную чернуху. Главное, чтобы патриотично, и чтобы заговор против русской истории вообще, и отдельных передовых ученых, в частности. И в последнее время стал довольно агрессивным. И писучий, гад. Даже с моей страстью к чудакам всего прочитать внимательно не могу - но и отличий немного.|0
107|Ой, здесь интересно, здесь русские в палеолите... Ужасная чушь, но некоторым нравится: либо людям с проблемамии в части логического мышления, либо сдвинутым на русофилии (уж если русский - то с палеолита, а еще лучше - из юры!), либо коллекционерам глупостей (вроде меня). Вначале профессор Чудинов был довольно тихим сумасшедшим, но теперь заматерел, научился заколачивать деньги, и стал гнать откровенную чернуху. Главное, чтобы патриотично, и чтобы заговор против русской истории вообще, и отдельных передовых ученых, в частности. И в последнее время стал довольно агрессивным. И писучий, гад. Даже с моей страстью к чудакам всего прочитать внимательно не могу - но и отличий немного.|0
108|Это вообще полный бред, тем более забавный, что объектом выбран первый классик. Господи, что он только не написал, оказывается, и с какими грамматическими ошибками... Чудинов рулит... но оцтой канешна.|0
109|Редкостная дрянь. Прочитала от безвыходности в поезде. Лучше не тратить время.|0
110|Ни о чём.|0
111|"Тааакой бред!!! На мой взгляд, книга написана ради одной-единственной мысли: ""Меня ПРОНЗИЛА мысль, что единственный во всем мире, кому придется прожить мою жизнь, это не кто иной, как я сам."" Это поразииительно глубокая, а главное - НОВАЯ мысль!!!!!! Наверное, очень сложно до этого дойти самому,без помощи Лу. Ну просто смешно, товарисчи!!!"|0
112|Просто отвратительно. Я даже половины книги не осилила. Сплошная порнография. фу...|0
113|Ну и мура. Хорошо хоть денег не платила за книгу-скачала на Альдебаране|0
114|невежественная дрянь - тошно и скучно. и как только меня угораздило взять в руки такое? p.s. дочитал до конца лишь затем, чтоб иметь полное основание выразить недовольство.|0
115|отвратительное г... , назвать это книгой язык не повернется|0
116|"жизнь у Даниила Андреева была очень тяжелая, но, книга ""Роза мира"" никуда не годится. Такая вот правда жизни. Лучше и намного лучше почитать Макса Генделя, или Успенского."|0
117|Мне очень не понравилось это произведение... Книга,что говорится, ни о чем.... Нет любви, чувств,эмоций... только деньги, наркотики и шмотки... противно...|0
118|"Начал автор вроде неплохо - но дальше перешел на сплошные переживания героя - с какой женщиной заниматься любовью,а с какой еще и спать после этого.С какой любовницей встречаться и как.И ... так далее. Всё это на фоне Чехии периода Дубчека и советских войск там - т.е. немного политики прошедших времен. Так и хочется сказать автору (и герою книги) - хватит лежа разглядывать что-то на потолке - открой хотя-бы окно и выгляни на улицу. Ни познавательного,ни тем более гениального или интеллетульного я в этой книге не обнаружил. Согласен с некоторыми рецензиями (на форумах) - чисто ""дамское"" чтиво - поплакаться по поводу разных любовниц,когда и сама любовница у него-же.Это,видимо,и считается у них гениальным и требующим оставить эту книгу для многократного чтения как настольную. Поставил двойку - редко когда такую оценку выставляю."|0
119|"Ужасно....Розовые слюни. Новая версия ""Красотки"", о том, что проститутка сможет в конце концов найти своего принца..."|0
120|М-да...заинтересовал а актуальность темы и неоднозначные отзывы. Сопли и мыло.|0
121|читать это невозможно, была более высокого мнения о творческих способностях Ксении Анатольевны...|0
122|ужасно! мало было Донцовой изображать неудачниц-детективов в женском обличье, она еще и за мущин взялась! аюсолютно бесполезная литература|0
123|"Немного ""богохульства"" не провредит; это даже полезно... То, что автор не разбирается в том про что он пишет, понятно многим, я надеюсь. Например, в самом начале главный герой обзывает иррациональное число рациональным! Дело в том, что число Фидия, обозначаемое иногда буквой ""фи"" греческого алфавита, есть отношение, которое называют ""золотым сечением"", и это отношение суть число иррациональное (решите квадратное уравнение, исходя из определения ""золотого сечения"", и получите два корня, один из них - число ""фи"", другой - отрицателен). А в книге числом ""фи"" обозвана конечная десятичная дробь! Она представляется отношением числа целого к натуральному - нестыковка... С математической точкой зрения - полный бред... А ещё автор не разобрался, что же такое т.н. ""сфумато""... Это даже смешно! Книга будет интересна тому, кто любит находить всяческие ""дыры"". Чувство юмора обязательно!"|0
124|"Я вообще-то терпимо отношусь ко всякому. Но Пулман - первый автор, про книги которого мне хочется сказать: ""собрать бы книги все (его) да сжечь!"" Краткое содержание: Лайра (ну, или Лира) маленькая сиротка в волшебном мире, где у каждого есть свой... ДЕМОН (ну, или деймон, одна суть). Демон - это такое типа животное, которое всегда с тобой, чувствует и испытывает эмоции вместе с тобой, проявляет интуицию и т.д. Короче, из описания выходит, что ДЕМОН - это что-то вроде человеческой ДУШИ. Как вам? Ладно, это еще не все. Далее, сиротка узнает, что у нее есть мать, которая когда-то ее бросила. Мама, когда она загуляла с папой, была замужем за ""шишкой"", и, когда ""залетела"", не захотела с ""шишкой"" расстаться из-за денег и положения в обществе. Лайра эту мать встречает, и оказывается, что мама эта занимается такими экспериментами: отнимает у детишек демонов этих! Другими словами, вынимает из детей душу! И дети от этого чахнут, умирают! Далее, оказывается, папаша тоже не прост. Он тоже задумал души у детей вынимать, а для начала взял себе лучшего друга Лайры, чтоб на нем потренироваться! Я уж не говорю о сюжетных нестыковках, ляпах и проч. Чего только стоят племена воинственных татар (!) и самоедов (!), которые, оказывается, кочуют по далекому северу и просверливают дырки в черепах жертв! В общем, я в полном ауте была, когда прочла (с большим трудом). Не давайте детям!"|0
125|Бее... просто бее ... отврат, ну почему все неудачники не находят себя нигде кроме литературы...|0
126|бред!|0
127|На мой взгляд, эту книгу вообще читать не стоит. Все, что хотел сказать автор, написано в аннотации. И совсем не обязательно прочитывать 600 страниц наискучнейшего текста, чтобы убедиться в этом. Сюжет не захватывает абсолютно, образы героев не прописаны, события или слишком не реальны или очень банальны. Это лично мое мнение.|0
